

    0.213918545811815718E-98   -0.245689424242598989E+03    0.109819455360545548E+00    0.393843351052513391E+00    0.835593872240857038E+01    0.368231966148031720E+00    0.875651897248666344E+01
    0.248462311999736968E-98   -0.245993815955688092E+03    0.235174357692535113E+00    0.887851071825672133E-01    0.804607111590492607E+01    0.426232524926104417E+00    0.144211490368571482E+01
    0.661351495440378621E-98   -0.247956804534890352E+03    0.404177035200032342E-01    0.104936974436464853E+00    0.792592224698899628E+01    0.613388347295168335E+00    0.237174015131839289E+01
    0.858848798205286968E-98   -0.248484419383114471E+03    0.784785546509371434E-01    0.351841658179606609E+00    0.833167445896617842E+01    0.513222898100926139E+00    0.148411201112382174E+01
    0.163099994894313310E-97   -0.249772130754198088E+03    0.378489428755407822E-01    0.455372212366103646E+00    0.842531666759795961E+01    0.222205180246184658E+00    0.119173112662700564E+02
    0.185906773973357769E-97   -0.250038894463283953E+03    0.143768186314055496E+00    0.623334533382123523E+00    0.858984077700482374E+01    0.695996416957143094E+00    0.127022855699009316E+02
    0.388674035053152561E-97   -0.251518885869902988E+03    0.668794028834402532E+00    0.851959724139329105E-01    0.824820290850593985E+01    0.731251553319406389E+00    0.182180447857885830E+01
    0.747864950403004738E-97   -0.252832848625720715E+03    0.675703689979879618E-01    0.159209819128760172E+00    0.810287847943923367E+01    0.147967730489585586E+00    0.144319595770222318E+02
    0.113058888643711119E-96   -0.253664391626353847E+03    0.615010932130109156E+00    0.242828173533267411E+00    0.858490653455602271E+01    0.248982065167916052E-01    0.613676090241793126E+01
    0.134660070422825053E-96   -0.254019081195709646E+03    0.596002292352034169E-01    0.427972860627442608E+00    0.840211344316676190E+01    0.957961944579588498E+00    0.145347900120106654E+02
    0.768108566516321964E-96   -0.257506436155157076E+03    0.358940630112455528E+00    0.255344604003573949E+00    0.844142357421552347E+01    0.493950815733881610E+00    0.984919506494921571E+01
